species	DMG2400368	DMG2400338	DMG2400367	DMG2400339	DMG2400369	DMG2400340	DMG2400341	DMG2400342	DMG2400343	DMG2400344	DMG2400345	DMG2400346	DMG2400347	DMG2400348	DMG2400349	DMG2400350	DMG2400351	DMG2400352	DMG2400353	DMG2400354	DMG2400355	DMG2400356	DMG2400357	DMG2400358	DMG2400359	DMG2400360	DMG2400361	DMG2400362	DMG2400363	DMG2400364	DMG2400365	DMG2400366
Acetanaerobacterium elongatum																				0.0006261877229678			0.0004181533073997		2.2212653064944865e-05							
Acetatifactor muris		0.0007102678880566	0.0014144181454193	0.0007089691263833		0.0046401221245979	0.0065701996618121	0.0013895910013978	0.0007590272276822	0.0015784177020816	0.0027991660597065	0.0020933020455848	0.0013048142775459	0.0015577871946215	0.0039036756705984	0.0013324908069152	0.0003398975049351	0.0008934687441824	0.0013715125558043	0.0023906168203205	0.0016434677858107	0.0021656252114868	0.0038306135869694	0.0017821794640378	0.0043418299837706	0.0020064553293735		0.0006618477939122	0.0008672143175433	0.0020131257246191	0.0004846342673615	0.0004411865087003
Acetitomaculum ruminis		0.0005798649422918		7.45311762692033e-05		0.0001258613735578		0.0017807502081622				0.0006029798195494	0.0007937205857329	0.0008030660950546		0.001240218239511		0.0022153912755411			0.0026252763945832			0.0021773502860443	0.0002147073610992	0.0059665714698403						6.854479843318976e-05
Acetivibrio ethanolgignens		0.0004865156736873	0.0005166307576832	0.0001292308556345		0.0003887914582449	0.0003620277522711	0.0008062341927843	0.0001422874313234	0.0003050220622068	0.0003459945505998	0.0006825401680617	0.0005890469884999	0.0007425979910423	0.0004287863140797	0.0006855868024314	0.0001750321202993	0.0006548346505425	0.0003021440158838	0.0009804397902344	0.0009600347566954	0.0004531235854118	0.0004324827654016	0.0011263992710864	0.0003697718307461	0.001408633864351						8.636097160045685e-05
Acutalibacter muris		0.0006667433120313	0.0021068943960134	0.0004741901584458		0.0034006618182522	0.0053519183591938	0.0024207243117518	0.000671167367146	0.0017706412635114	0.0011900936443455	0.0022274315848627	0.0013546348497153	0.0012356235235106	0.0038337963596161	0.0009510726292087	0.0004380221351848	0.0010613226032421	0.0004564615757248	0.0009953746620982	0.0010093770546784	0.001628308892714	0.0034036483887562	0.001561396023016	0.0034124639063633	0.0015265142656502		0.0049980190274514	0.0007562109924464	0.0083642614368755	0.0004391182464029	0.0011300648560507
Adlercreutzia equolifaciens				5.786212031094784e-05		9.3860153412292e-05					9.715552690331e-05	8.156340357564895e-05													3.093275190417432e-05		0.0003759603676183					
Adlercreutzia muris		0.0001350318992845		0.0001114513917283		0.0001412515893992			7.831230951403654e-05		0.0001545472457501	7.612584690004676e-05					6.060606812185591e-05								4.4056685265981525e-05		0.0004036762817246					
Agathobaculum butyriciproducens		0.0001962766612292	0.0006997904042529	0.0001171778345872		0.0003990617861804	0.0015843871818238	0.0002646218397837	0.0001613200178739	0.000365468825854	0.0004808218111747	0.0005910121317978	0.00013697874385	0.0004748351319044	0.0010980519690538	0.0003172901465945	0.0001708359100755		0.0003487059829899	0.0006770370861662		0.0006594363200956	0.0007091537227704	0.0005986887509339	0.0005968582790731					0.0003699025525657		0.0001599791889433
Agathobaculum desmolans			0.0002195607108984			0.000173603650704	0.0006254242059309	0.0001093891620028			9.793885131452216e-05	9.324896337127425e-05	8.238273445855632e-05	0.0001104216757802	0.0003901888966276	0.0001015430623191						0.0002315113743029			0.000225226965417							
Akkermansia muciniphila		0.0047866673735366	0.0073794686782551	0.0009032063826584			8.558163418130469e-05	0.0003691824915203	7.228828568330503e-05	0.0041712107796649		0.0013376368183584		0.0007003184719264	0.000719212788911	6.587940774412438e-05	0.0047304616296584			0.0357019282187884	0.000797043692486		0.0035311112294392	0.0014758709030659	0.0018274516726759		0.0030025199703947	0.0011633440854529	0.0070117183484697	0.0309873859520252	0.1751739316886699	0.0060455135310031
