pathway	DMG2400338	DMG2400339	DMG2400340	DMG2400341	DMG2400342	DMG2400343	DMG2400344	DMG2400345	DMG2400346	DMG2400347	DMG2400348	DMG2400349	DMG2400350	DMG2400351	DMG2400352	DMG2400353	DMG2400354	DMG2400355	DMG2400356	DMG2400357	DMG2400358	DMG2400359	DMG2400360	DMG2400361	DMG2400362	DMG2400363	DMG2400364	DMG2400365	DMG2400366	DMG2400367	DMG2400368
1CMET2-PWY	460.0492987423961	1246.4822470336094	1133.0867990084116	1035.511396118771	1388.3000189303334	1433.459942391386	1986.6329565523674	1407.8005684394589	1714.1878247806167	2288.614127893253	1681.7885935554152	1390.1396317178003	1471.7349422123011	1004.4649874985524	285.62652939421065	224.13426668903776	140.94227390613236	433.5239231363338	282.0109893151808	459.6539245292734	360.20987591706273	5141.15746904183	337.3645582487263	104.0115354017502	161.00000000000003	293.75897218667046	366.22691395888796	291.53345631938714	5139.232744324299	647.36160148933	87.41347671301166
ANAEROFRUCAT-PWY	599.9365500874104	2062.908465580443	1028.7140631024256	520.6827541495395	1146.7856336335967	2304.877165403571	2827.909579016014	1876.7206531372901	2223.0181306945833	3423.8178246987977	2194.561067835904	1809.0204928978876	1950.4699913024615	1480.4935270712958	363.7349845377305	294.0391905105583	113.29635633254624	514.5049279369404	283.0774708186143	409.6398181695047	336.3016413718646	3885.451300448323	287.2341350276933	130.32547879165247	139.4884901184082	360.33295712933585	166.56570248732348	378.70655655389976	7870.95288638246	410.06039244248416	141.26451833106307
ANAGLYCOLYSIS-PWY	641.2634638131269	3430.0023833440896	1519.434047778821	1364.3533685323143	1908.8660853491706	6203.9844952042395	4246.874751627854	2095.098324314723	2540.9015393738177	7088.345563460415	2446.774333712493	2023.527370069289	2307.508110218473	2050.628156754308	393.1688270664017	346.3189780203382	189.9990965000593	564.4261209826457	375.48569152161724	598.5273459730361	489.49983727595696	6749.758154001931	447.50212284367274	141.9109599469336	183.49483606204151	387.3462757371336	478.37379739973125	404.395428928041	16494.52329414353	828.7355884134117	361.25335684858663
ARG+POLYAMINE-SYN	0.0	83.17486955585635	227.37286452033516	109.47375013327827	212.83485802609812	213.56491413213695	247.5527836765565	354.5668152245624	200.25312567546865	78.38775295466586	307.1417297504082	81.80558992821804	224.78567847374592	182.70153428348155	0.0	0.0	0.0	35.89841984150411	66.72048726308576	72.14583561126386	56.31352298411235	867.5440490953456	0.0	0.0	0.0	0.0	0.0	43.26297711721708	378.6668547274568	77.17349543827628	0.0
ARGORNPROST-PWY	110.08487026844884	72.88763035094347	0.0	0.0	0.0	139.3762673844796	129.65270194411218	40.37363644939107	116.90838337090473	114.90900531931739	127.98174508360812	97.1066399092563	81.44673725212135	101.99564305669475	0.0	0.0	0.0	36.56120077029021	0.0	81.02522686542606	0.0	376.6666791110655	0.0	0.0	0.0	0.0	0.0	0.0	224.67902361537946	0.0	0.0
ARGSYN-PWY	374.768722941784	791.8370323249221	1171.1965210729772	1074.0398870377926	1538.7874186309705	944.8343924855445	1424.3948182336064	1122.8398331008689	1563.3388052619607	1210.0010191368108	1488.664299536098	1400.7145995258716	1276.7701027916723	841.2894409463892	236.3085200603448	161.48342107658127	147.64835429856583	397.274878766231	290.6446902646587	489.53876685255875	383.3695176664867	5399.64512337503	353.10847436273525	62.8005136946317	111.66822513294551	276.0306725279229	370.295525494221	292.26059474774496	2588.614881528178	664.871615862257	36.07998255955655
ARGSYNBSUB-PWY	369.8051370238075	685.2844849220975	1214.6278278578943	1113.8944861949794	1587.2924330784842	877.7344119334165	1390.5995734589383	1135.4619548932492	1549.2260427643455	1235.927505425085	1494.0096121480367	1437.5519610342692	1249.3413357576303	798.8242018083265	237.0970895945036	153.41566532034838	151.36944915570206	393.245500167151	296.197011200028	504.4957923775704	410.01456401645487	5548.554153663258	361.6511559595656	55.92069985360539	102.06190672719771	276.3065589561247	379.50249983701315	297.9585656843476	2642.853769741183	687.5408809005947	31.138040310815104
ARO-PWY	351.61730503025575	655.8915694114262	1291.5271510110338	1214.92050327349	1662.649832668884	693.9290325687249	1273.9948111767073	1231.6911247973374	1360.2771444139755	1243.2602328891217	1388.951441950653	1418.8080433935074	1026.8308970284345	630.7250276788095	216.12431245872787	141.5125602257734	122.80629249850878	375.9868971635048	316.48372624721424	549.3487352400778	404.2514224625961	6066.2409949485755	384.2650076023552	71.17557472870887	161.6148740495835	292.5675631657719	446.6753860657023	260.8666384165423	2709.153785944097	769.6254014497848	29.110409045560356
ASPASN-PWY	496.5596134982905	1248.4585110278074	1108.6194338292187	957.2275003003251	1361.4733643133968	1215.3410061537486	1708.9316483954058	1481.3001812177306	1550.325145253858	1940.6147448781226	1602.321648304629	1364.1014005233028	1320.1846333578471	888.48371362639	265.25952170062004	199.12826157476766	160.14752370916753	450.8415570175439	302.63381410717676	466.08379779917345	345.03202314029903	4948.8592616557235	321.8884330250142	121.11542390194076	177.70267379679143	292.13309503784694	296.0112872698786	270.02895944355555	3584.791821589156	616.1647148391464	81.361767959344
BRANCHED-CHAIN-AA-SYN-PWY	534.097540945108	930.5690294994843	1454.2107283779121	1307.205667856621	1919.9250023989425	944.3368119417747	1538.312266458011	1405.292668447573	1753.9059771664993	1400.943010619082	1745.531629783408	1608.5856873428263	1455.0637961610337	927.89583800204	294.9908524137672	202.97185870410266	192.7891233606417	504.4387140726132	356.7438741312599	590.5646485366201	460.0393047676963	6683.282710123354	465.3699648973964	113.62893580667378	199.8120958343439	318.72259011470544	471.00506325438084	317.0143812470291	2941.690799023173	792.3758790607451	56.652934074578454
